,Unnamed: 0,prompt,completion
66,66,Frontier in Space,"When the TARDIS accidentally brings the Doctor and Jo aboard Earth cargo ship C982, they find it under attack. The crew perceive the Doctor, Jo and the attackers as Draconians, whose empire currently rivals Earth’s for control of the galaxy. But the Doctor and Jo see only Ogrons – brutish, simian mercenaries who steal the cargo, including the TARDIS, and head off into space.

The Doctor’s investigations take him to Earth, the Moon and then to Draconia itself. He discovers that the Ogrons are employed by his sworn enemy, the Master, who is attempting to provoke a war between the space empires. The Doctor suspects the scale of the plan is too grand for the Master, but even he is shocked to discover the identity of the far deadlier foe waiting in the wings…"
156,156,The Curse of Fenric,"The TARDIS materialises at a secret naval base off the coast of Northumberland toward the end of the Second World War. Dr Judson, a scientist there, has created the Ultima Machine, an early computer designed to break German codes. The base’s Commander Millington plans to let a Russian commando unit led by Captain Sorin steal the Machine’s core, which he has booby-trapped with deadly toxin…"
247,247,Robot Of Sherwood,"In a sun-dappled Sherwood forest, the Doctor discovers an evil plan from beyond the stars and strikes up an unlikely alliance with Robin Hood.

With all of Nottingham at stake, the Doctor must decide who is real and who is fake. Can impossible heroes really exist?"
267,267,The Pilot,"The Pilot. Two worlds collide when the Doctor meets Bill.

A chance encounter with a girl with a star in her eye leads to a terrifying chase across time and space.

Bill’s mind is opened to a Universe that is bigger and more exciting than she could possibly have imagined – but who is the Doctor, and what is his secret mission with Nardole on Earth?"
145,145,The Ultimate Foe,"With the evidence complete, the Doctor learns that the Master has gained illicit access to the Matrix in his TARDIS."
135,135,The Twin Dilemma,"A race of giant gastropods has taken over the planet Jaconda. Their leader, Mestor, now intends to cause an enormous explosion in order to spread his people’s eggs throughout the galaxy, and he kidnaps juvenile twin geniuses from Earth to work out the necessary mathematical equations. Space fighters led by Lieutenant Hugo Lang are dispatched to get the twins back, but they come under attack and Lang is the sole survivor when his ship crashes on the asteroid Titan 3."
81,81,Pyramids of Mars,"The future of the cosmos is at stake when the Doctor faces his most fearsome adversary in this four part adventure. Returning to UNIT HQ on Earth, the TARDIS is thrown violently about by a mysterious force and Sarah and the Doctor arrive instead at an old priory in the year 1911. The owner, Marcus Scarman, has been excavating ancient tombs and is possessed by the spirit of Sutekh, bringer of “the gift of death to all mankind”. Sutekh has lain for thousands of years in his pyramid prison and Scarman and his robot mummies plan to release this ancient and evil power. Will Sutekh the all-powerful be freed from his bonds and destroy the world, or will the Doctor manage to bring about his destruction?"
137,137,Vengeance on Varos,"The Doctor visits the planet Varos to obtain supplies of a rare ore called zeiton 7, vital to the functioning of the TARDIS. Varos was once a colony for the criminally insane and the descedants of the orginal guards still rule over the rest poverty-striken population. The Doctor and Peri meet two rebels, Jondar and Areta, and Peri and Areta are captured by Qullam, the Dome’s sadistic commandant…"
111,111,State of Decay,"The Doctor, Romana, K9 and Adric – an Outler from Alzarius who has stowed away aboard the TARDIS – arrive on a planet where the native villagers live in fear of ‘the Wasting’ and of three Lords named Zargo, Camilla and Aukon who rule from an imposing Tower. The Lords are soon revealed to be vampire servants of the last of the Great Vampires, a race referred to in Time Lord mythology."
173,173,The Girl in the Fireplace,"Madame Du Pompadour finds the court at Versailles under attack from sinister clockwork killers. Her only hope of salvation, lies with the man who has haunted her dreams since childhood – a mysterious stranger known only as the Doctor. Can a broken clock summon the Lord of Time?"
229,229,Dinosaurs On A Spaceship,"An unmanned spaceship hurtles towards certain destruction – unless the Doctor can save it, and its impossible cargo … of dinosaurs!

By his side a ragtag gang of adventurers, a big game hunter, an Egyptian Queen and a surprised member of the Pond family. But little does the Doctor know there is someone else on board who will stop at nothing to keep hold of his precious, prehistoric cargo."
250,250,The Caretaker,"The terrifying Skovox Blitzer is ready to destroy all humanity – but worse, and any second now, Danny Pink and the Doctor are going to meet.

When terrifying events threaten Coal Hill school, the Doctor decides to go undercover."
153,153,The Greatest Show in the Galaxy,"Although Ace hates clowns, the Doctor decides to take his companion to the Psychic Circus on the planet Segonax. There they find a group of scared performers who live in fear of the sinister and creepy Chief Clown. But what is so dangerous about this particular circus, why is there such a small audience and will Ace be able to overcome her fear before it’s too late?"
238,238,Journey to the Centre of the TARDIS,"The TARDIS has crashed, Clara is lost inside, and the Doctor has 30 minutes before his ship explodes!"
90,90,The Talons of Weng-Chiang,"The inimitable Doctor Who and his assistant Leela are confronted by sinister and seemingly inexplicable occurrences in this gripping thriller set in the shadowy depths of nineteenth century London.

With the help of Professor Litefoot, the Doctor investigates the gruesome murder of a cabbie and the mysterious disappearances of young girls. Whilst being chased by giant rats and forced to pit his wits against an evil doll and a merciless illusionist, he comes face to face with his most deadly enemy to date: Magnus Greel – a fifty-first century war criminal posing as Weng Chiang, an ancient Chinese god. Can the Doctor thwart his dastardly plans before Leela becomes his next victim…."
15,15,The Chase,The travellers are forced to flee in the TARDIS when they learn from the Time/Space Visualiser taken from the Moroks’ museum that a group of Daleks equipped with their own time machine are on their trail with orders to exterminate them.
228,228,Asylum of the Daleks,"Matt Smith returns as the oldest time-traveller in the universe. The Time Lord, Amy and Rory are kidnapped by their oldest foe the Daleks and forced on a seemingly impossible mission – to enter the Asylum, a planetary prison confining the most terrifying and insane of the deadly aliens’ kind.

They need an escape route, and fast – but with an army of mad Daleks closing in, and the Ponds’ relationship in meltdown, it is up to the Doctor to save not only their lives but his friends’ marriage. Karen Gillan and Arthur Darvill co-star.

Dalek Facts and Asylum Guide"
63,63,The Time Monster,"The Master, in the guise of Professor Thascales, has constructed at the Newton Institute in Wootton a device known as TOMTIT – Transmission Of Matter Through Interstitial Time – with which to gain control over Kronos, a creature from outside time."
12,12,The Web Planet,"When the Doctor and his friends stray from their astral plane and the TARDIS materialises in eerie alien surroundings, a mysterious force prevents them from leaving. Is it a natural phenomenon or some malevolent intelligence? 

Uncanny occurences are followed by encounters with the deadly Zarbi and their unknown leader, to whom the travellers fall prey. With their allies, the Menoptra, the travellers must discover how to immobilise the Zarbi, save the Menoptra from massacre and rid the planet of this powerful and horrifying evil. 

As a growing web building begins to envelop the planet, imprisoning the travellers in its mesh, the Doctor must consult all of his wisdom to escape its hypnotic power. But what is at the centre of the web and from where does it draw its power?"
22,22,The Ark,"In the final days of Earth, the TARDIS lands on a massive spaceship carrying the last members of the human race to a new home beyond the solar system. The humans are not out of danger, however, as a deadly plague emerges from the most unlikely of sources: the common cold carried by the Doctor’s companion, Dodo. Put on trial for their lives, the TARDIS crew must find a way to repair the damage they have unwittingly caused – and face up to the devastating consequences…"
245,245,Deep Breath,"When the Doctor arrives in Victorian London, he finds a dinosaur rampant in the Thames and a spate of deadly spontaneous combustions.

Who is the new Doctor and will Clara’s friendship survive as they embark on a terrifying mission into the heart of an alien conspiracy? The Doctor has changed. It’s time you knew him."
257,257,The Magician’s Apprentice/The Witch’s Familiar,"Where is the Doctor? When the skies of Earth are frozen by a mysterious alien force, Clara needs her friend. But where is the Doctor, and what is he hiding from?

As past deeds come back to haunt him, old enemies will come face-to-face, and for the Doctor and Clara survival seems impossible…

Trapped and alone in a terrifying Dalek city, the Doctor is at the heart of an evil Empire: no sonic, no TARDIS, nobody to help. With his greatest temptation before him, can the Doctor resist?

And will there be mercy?"
73,73,Planet of the Spiders,"At a Tibetan retreat in the English countryside, a group of men are using ancient meditation rituals to tap into a mysterious alien power. They unwittingly create a bridgehead between Earth and Metebelis 3, a planet where the ‘Two Legs’ are oppressed by giant spiders. The creatures are desperate to recover the blue jewel that the Doctor gave to Jo Grant as a wedding gift. Now the Doctor must risk everything and return to Metebelis 3 to face the awesome power of The Great One, who plans to use the crystal to enslave all of human kind…"
222,222,Night Terrors,"The Doctor receives a distress call from the scariest place in the Universe: a child’s bedroom. Every night George lies awake, terrorised by every fear you can possibly imagine – fears that live in his bedroom cupboard. His parents are getting desperate – George needs a doctor.

Fortunately for George, his desperate pleas for help break through the barriers of all time and space and the Doctor makes a house call. But allaying his fears won’t be easy; because George’s monsters are real."
175,175,The Idiot’s Lantern,"It’s 1953, the Coronation year of HM Queen Elizabeth II, and the people of Great Britain huddle round their television sets to witness the great event. But behind the celebrations there are rumours of monsters on the streets, and the tormented Mr Magpie is hiding a strange and alien secret."
97,97,The Ribos Operation,Coming soon
52,52,The Ambassadors of Death,"When all communication is lost from Mars Probe 7 shortly after jt leaves. Mars and begins its trip back to Earth, a second craft is launched to investigate. As Recovery 7 docks in space, it too  loses all communication The Doctor and UNIT are given the task of investigating the mystery, as Recovery 7 returns to Earth.

It appears that no one can be trusted, as the space capsule is hijacked from its UNIT convoy With, military precision. What has happened to the missing astronauts? Could this be a secret invasion from Mars, or is the enemy much closer to home?"
273,273,The Pyramid at the End of the World,"An ‘ancient’ pyramid appears overnight. Every clock in the world begins counting down to the Earth’s destruction. Three opposing armies lie ready to annihilate each other. An alien race stands ready to offer humanity a deal that could save them, but also enslave them. It’s a terrifying race against time to save the world. Will the Doctor be forced to accept their help?"
233,233,The Snowmen,"Christmas Eve, 1892, and the falling snow is the stuff of fairytales. When the fairytale becomes a nightmare and a chilling menace threatens Earth, an unorthodox young governess, Clara, calls on the Doctor for help. But the Doctor is in mourning, reclusive and determined not to engage in the problems of the universe. As old friends return, will the Doctor really abandon humankind, or will he fight to save the world and Christmas from the icy clutches of this mysterious menace?"
271,271,Oxygen,"‘Space – the final frontier. Final because it wants to kill us.’ Trapped on a space station with no oxygen, the Doctor, Bill and Nardole are horrified to discover the automated spacesuits keeping them alive are also trying to kill them!"
235,235,The Rings Of Akhaten,"The Doctor takes Clara to the Festival of Offerings, but the Old God is waking and demands sacrifice!"
